Time,x,y,z
1.786628541957334e+18,-427439330.7446248,60225837770.98597,-861436366.6516278
1.7866285419623342e+18,-428272091.7328941,60397783289.1591,-863638473.902389
1.7866285419673341e+18,-429101624.5412443,60569973925.91191,-865843491.078493
1.786628541972334e+18,-429928106.7061163,60742409695.836,-868051388.1541486
1.786628541977334e+18,-430751757.0821137,60915099442.59567,-870262264.8573794
1.7866285419823342e+18,-431572668.64235544,61088025473.395836,-872475902.0012577
1.7866285419873341e+18,-432391077.83418286,61261196631.62067,-874692416.3950224
1.786628541992334e+18,-433207209.9212037,61434612931.63571,-876911789.6509748
1.786628541997334e+18,-434021364.1251537,61608283267.613495,-879134105.864882
1.7866285420023342e+18,-434833743.19035965,61782189846.8447,-881359116.6700716
1.7866285420073341e+18,-435644690.23965675,61956341562.99525,-883586923.3303709
1.786628542012334e+18,-436454502.9933861,62130738429.81122,-885817507.4380939
1.786628542017334e+18,-437263511.2940753,62305389390.55067,-888050956.1685737
1.7866285420223342e+18,-438071910.564116,62480276550.7984,-890287012.0798197
1.7866285420273341e+18,-438879986.0940666,62655408853.05549,-892525767.4392921
1.786628542032334e+18,-439687902.3275905,62830786309.55431,-894767215.9579763
1.786628542037334e+18,-440495805.69448286,63006417912.23995,-897011480.9008554
1.7866285420423342e+18,-441303766.05543786,63182285665.097145,-899258333.2738928
1.7866285420473341e+18,-442112052.8633903,63358398560.10078,-901507870.2630912
1.786628542052334e+18,-442920852.3701146,63534756609.02427,-903760084.4643474
1.786628542057334e+18,-443730277.9407467,63711368853.59645,-906015121.1782169
1.7866285420623342e+18,-444540290.2604733,63888217196.768364,-908272800.8091083
1.7866285420673341e+18,-445351031.7467884,64065310679.96486,-910533282.243444
1.786628542072334e+18,-446162614.94771594,64242649314.34532,-912796605.5281357
1.786628542077334e+18,-446975117.31093013,64420242191.469536,-915062947.9243377
1.7866285420823342e+18,-447788434.2368555,64598071113.65525,-917332158.5457981
1.7866285420873341e+18,-448602626.5264772,64776145172.301315,-919604430.0150347
1.786628542092334e+18,-449417737.4413682,64954464378.63848,-921879808.23734
1.786628542097334e+18,-450233788.6429443,65133037875.18929,-924158422.4181278
1.7866285421023342e+18,-451050639.3191739,65311847364.885216,-926440046.0273584
1.7866285421073341e+18,-451868315.63054144,65490901990.308395,-928724802.8200434
1.786628542112334e+18,-452686847.2810392,65670201763.35711,-931012690.0248694
1.786628542117334e+18,-453506289.8308003,65849755876.80724,-933303824.3021997
1.7866285421223342e+18,-454326536.50066715,66029545933.04783,-935597977.5086684
1.7866285421273341e+18,-455147615.71466225,66209581124.8905,-937895270.4466429
1.786628542132334e+18,-455969539.9816772,66389861464.281235,-940195701.4788165
1.786628542137334e+18,-456792360.00296336,66570396194.23134,-942499387.3703387
1.7866285421423342e+18,-457615983.68680835,66751166816.74241,-944806093.6034244
1.7866285421473341e+18,-458440448.7490595,66932182574.86749,-947115938.2432395
1.786628542152334e+18,-459265763.1731627,67113443480.57639,-949428919.1390879
1.786628542157334e+18,-460091974.93361574,67294958827.07415,-951745154.0833303
1.7866285421623342e+18,-460918997.04041004,67476710015.91531,-954064407.5819052
